Cost,Mahalanobis,10-LOF,Time,Alpha
PCC,2.294736196044226,1.1608094913414588,82.04700016975403,0.0
DACE,1.3995267572146415,1.0703368090801788,600.0529999732971,1.0
TLPS,1.5408592864843182,1.0079698804370782,62.14800000190735,0.0
MAD,1.6158806282009386,1.4699614070694287,121.99900007247925,0.0
PCC,2.2965040924916664,1.3965926875995744,183.31199979782104,0.0
DACE,2.1505011988150047,1.1196279124547333,600.0429999828339,1.0
TLPS,0.9695496912028999,1.2163720686812396,112.49399995803833,0.0
MAD,1.6602619243551566,1.082154505298995,173.75300002098083,0.0
PCC,6.868842280407985,1.4553853925746543,70.7039999961853,0.0
DACE,2.010391452676957,1.280946018570305,600.0570001602173,1.0
TLPS,1.6307530482074535,1.2926486577743703,49.70300006866455,0.0
MAD,1.3359342448064193,1.9435615317841175,66.13700008392334,0.0
PCC,2.259649162385008,1.9319660135861842,122.70700001716614,0.0
DACE,1.6274950713581653,1.3971644075184728,600.0650000572205,1.0
TLPS,1.0077816737132295,1.1150122894257146,28.26099991798401,0.0
MAD,2.0447787643496786,1.2071820556578514,35.246999979019165,0.0
PCC,2.4784051124624735,1.1697443849361495,30.93400001525879,0.0
DACE,2.072047702903607,1.1553074560452459,600.0499999523163,1.0
TLPS,2.580507407223359,1.0747511315569984,55.06599998474121,0.0
MAD,3.161784819170619,1.037346903958707,54.50600004196167,0.0
PCC,2.513097089903264,1.0691869394656652,84.875,0.0
DACE,2.3549420697736294,0.9921126204991172,600.0499999523163,1.0
TLPS,2.054045006593929,1.4967084366944603,93.40400004386902,0.0
MAD,2.6787918980856658,1.4918185857952164,103.09999990463257,0.0
PCC,1.4406306411429228,1.3764964031075775,56.13800001144409,0.0
DACE,4.324318769727377,1.8303959780635075,600.058000087738,1.0
TLPS,3.2764659297962315,1.1278804736693218,93.46799993515015,0.0
MAD,3.3600260823620043,1.3295944396707342,94.74499988555908,0.0
PCC,3.6140124257709565,1.2998206432539345,80.17000007629395,0.0
DACE,3.0676675344130353,1.2431678264457964,600.0570001602173,1.0
TLPS,1.8024339524975466,1.2797160609150606,164.08399987220764,0.0
MAD,1.8774744077921655,1.047142253373409,97.54099988937378,0.0
PCC,2.15387648279831,1.3122918198023419,41.34599995613098,0.0
DACE,2.058570411314526,1.2204121630731588,600.0620000362396,1.0
TLPS,1.6730008071951916,1.1263506061759831,82.73699998855591,0.0
MAD,1.6730008071951916,1.1263506061759831,85.05900001525879,0.0
PCC,2.0233407591755124,1.1209993867685824,24.305000066757202,0.0
DACE,1.703029832183756,1.1739359564187661,600.047000169754,1.0
TLPS,1.7465333112083787,1.052015057364811,128.2409999370575,0.0
MAD,2.999950800657588,1.1007084435436223,83.17400002479553,0.0
PCC,2.629841040974751,1.0856242649697465,94.96300005912781,0.0
DACE,2.0421203703849495,1.029315299345452,600.0590000152588,1.0
TLPS,6.7122758206636055,2.9260703542049136,254.65599989891052,0.0
MAD,2.603070361743695,1.2234141812428487,250.93099999427795,0.0
PCC,2.9732419112339867,1.2965903027310741,418.28600001335144,0.0
DACE,4.943779720330606,1.3538528844750732,600.0720000267029,1.0
TLPS,2.1660527310237327,1.2147058307022212,152.95700001716614,0.0
MAD,1.8826154998692808,1.095789406905046,61.200000047683716,0.0
PCC,2.967278700900118,1.2189321829044921,600.0499999523163,0.0
DACE,2.5561804975672175,1.0524932911389215,600.0390000343323,1.0
TLPS,5.7562472063100865,1.3682983595434135,600.0610001087189,0.0
MAD,5.834382196771872,1.3962533541137927,600.0599999427795,0.0
PCC,5.069969716169763,1.0896089291000277,600.0380001068115,0.0
DACE,8.678358071164002,2.2882185470471628,600.0499999523163,1.0
TLPS,0.8802829849125293,1.0170349188589085,1.7599999904632568,0.0
MAD,0.22017652658546472,1.003052600371353,1.6160001754760742,0.0
PCC,0.9212358694537682,1.0170349188589085,1.2679998874664307,0.0
DACE,0.23204689291895989,1.0238829605072985,600.0590000152588,1.0
TLPS,0.8611780500004047,1.1905353109219745,12.526999950408936,0.0
MAD,1.3241979095213414,1.1224113585264912,13.098000049591064,0.0
PCC,1.3272568212419786,1.0201034124523096,50.521000146865845,0.0
DACE,1.8130164408058367,1.0970282699088982,600.0460000038147,1.0
TLPS,4.105160366634416,1.1025669096674453,301.98799991607666,0.0
MAD,3.8800970000328765,1.082644137856456,160.2850000858307,0.0
PCC,3.773240114895781,1.2272342070124362,287.0649998188019,0.0
DACE,4.8732489682515725,1.2717056719444648,600.0380001068115,1.0
TLPS,0.874641655026934,1.0176584364592272,0.9059998989105225,0.0
MAD,0.5576669357317305,1.0270197670356205,2.1110000610351562,0.0
PCC,0.9465719659222115,1.027547832445779,0.9070000648498535,0.0
DACE,0.28294077896141223,1.0172007751066015,434.91799998283386,1.0
TLPS,1.8978424075332883,1.095327769135122,48.37599992752075,0.0
MAD,2.557324748289503,1.0425423277432864,73.62199997901917,0.0
PCC,2.310185886927131,1.0798357104543115,50.88800001144409,0.0
DACE,2.0793795980700103,1.0685292809421816,600.0539999008179,1.0
TLPS,3.0307736757950905,1.0495813937396834,188.4960000514984,0.0
MAD,3.1942498761477722,1.1659488498405548,171.46600008010864,0.0
PCC,3.470258325216825,1.215893131082804,264.8479998111725,0.0
DACE,3.4721171730943383,1.481409776217862,600.0570001602173,1.0
TLPS,2.064521798175041,1.184383385353677,223.39600014686584,0.0
